# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun 22 16:28:05 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_controv_flag = 0
# CONSTRAINT:  and ttv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,ttv_flag,st_spectype,st_teff,rastr,ra,decstr,dec,sy_dist
1,11 Com b,11 Com,1,2,1,Radial Velocity,2007,0,323.21000000000,1.1780000000,,0,G8 III,4874.00,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000
2,11 Com b,11 Com,0,2,1,Radial Velocity,2007,0,326.03000000000,1.2900000000,,0,G8 III,4742.00,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000
3,11 Com b,11 Com,0,2,1,Radial Velocity,2007,0,,1.2100000000,,0,,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.18460000
4,11 UMi b,11 UMi,1,1,1,Radial Velocity,2009,0,516.21997000000,1.5300000000,,0,,4213.00,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000
5,11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,0,,1.5100000000,,0,,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000
6,11 UMi b,11 UMi,0,1,1,Radial Velocity,2009,0,516.22000000000,1.5400000000,,0,K4 III,4340.00,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.32100000
7,14 And b,14 And,1,1,1,Radial Velocity,2008,0,186.76000000000,0.7750000000,,0,K0 III,4888.00,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000
8,14 And b,14 And,0,1,1,Radial Velocity,2008,0,,0.6800000000,,0,,,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000
9,14 And b,14 And,0,1,1,Radial Velocity,2008,0,185.84000000000,0.8300000000,,0,K0 III,4813.00,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.43920000
10,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,,2.7300000000,,0,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
11,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,1765.03890000000,2.7740000000,,0,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
12,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,1796.40000000000,2.8000000000,,0,,5255.00,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
13,14 Her b,14 Her,1,1,2,Radial Velocity,2002,0,,2.8390000000,,0,K0,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
14,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,1766.00000000000,2.8640000000,,0,,5280.00,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
15,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,1773.40000000000,2.7700000000,,0,K0 V,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
16,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,1766.41000000000,2.8300000000,,0,,5314.94,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
17,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,1773.40002000000,2.9300000000,,0,,5338.00,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
18,14 Her b,14 Her,0,1,2,Radial Velocity,2002,0,1724.00000000000,2.8200000000,,0,K0 V,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.93230000
19,16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,0,799.50000000000,1.6800000000,,0,,5747.00,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000
20,16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,0,798.50000000000,1.6810000000,,0,,5674.00,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000
21,16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,0,800.80000000000,1.6000000000,,0,G2.5 V,5760.00,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000
22,16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,0,799.45000000000,1.6760000000,,0,,5711.97,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000
23,16 Cyg B b,16 Cyg B,1,3,1,Radial Velocity,1996,0,798.50000000000,1.6600000000,,0,,5750.00,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000
24,16 Cyg B b,16 Cyg B,0,3,1,Radial Velocity,1996,0,799.50000000000,1.6800000000,,0,G3 V,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.13970000
25,17 Sco b,17 Sco,1,1,1,Radial Velocity,2020,0,578.38000000000,1.4500000000,,0,K3 III,4157.00,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.95300000
26,18 Del b,18 Del,0,2,1,Radial Velocity,2008,0,,2.5400000000,,0,,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000
27,18 Del b,18 Del,1,2,1,Radial Velocity,2008,0,982.85000000000,2.4760000000,,0,G6 III,4980.00,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000
28,18 Del b,18 Del,0,2,1,Radial Velocity,2008,0,993.30000000000,2.6000000000,,0,G6 III,4979.00,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.22200000
29,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,1,Imaging,2008,0,,330.0000000000,,0,K7 V,4060.00,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000
30,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,Imaging,2008,0,,330.0000000000,,0,,4060.00,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000
31,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,Imaging,2008,0,,330.0000000000,1.66400000,0,K7 V,4060.00,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000
32,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,1,1,Imaging,2008,0,,330.0000000000,,0,,3993.00,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.13500000
33,24 Boo b,24 Boo,0,1,1,Radial Velocity,2018,0,30.35060000000,0.1900000000,,0,G3 IV,4893.00,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.98630000
34,24 Boo b,24 Boo,1,1,1,Radial Velocity,2018,0,30.33000000000,0.1940000000,,0,G3 IV,4816.00,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.98630000
35,24 Sex b,24 Sex,1,1,2,Radial Velocity,2010,0,452.80000000000,1.3330000000,,0,,5098.00,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.06910000
